"Nights","SunSets","SunRises","NightLength"
2016-01-01,2016-01-01 16:01:17,2016-01-02 08:05:39,16:04:00
2016-01-02,2016-01-02 16:02:20,2016-01-03 08:05:30,16:03:00
2016-01-03,2016-01-03 16:03:26,2016-01-04 08:05:17,16:02:00
2016-01-04,2016-01-04 16:04:34,2016-01-05 08:05:01,16:00:00
2016-01-05,2016-01-05 16:05:45,2016-01-06 08:04:42,15:59:00
2016-01-06,2016-01-06 16:06:59,2016-01-07 08:04:20,15:57:00
2016-01-07,2016-01-07 16:08:14,2016-01-08 08:03:55,15:56:00
2016-01-08,2016-01-08 16:09:32,2016-01-09 08:03:26,15:54:00
2016-01-09,2016-01-09 16:10:53,2016-01-10 08:02:54,15:52:00
2016-01-10,2016-01-10 16:12:15,2016-01-11 08:02:19,15:50:00
2016-01-11,2016-01-11 16:13:39,2016-01-12 08:01:41,15:48:00
2016-01-12,2016-01-12 16:15:06,2016-01-13 08:00:59,15:46:00
2016-01-13,2016-01-13 16:16:34,2016-01-14 08:00:15,15:44:00
2016-01-14,2016-01-14 16:18:04,2016-01-15 07:59:28,15:41:00
2016-01-15,2016-01-15 16:19:36,2016-01-16 07:58:38,15:39:00
2016-01-16,2016-01-16 16:21:09,2016-01-17 07:57:45,15:37:00
2016-01-17,2016-01-17 16:22:44,2016-01-18 07:56:49,15:34:00
2016-01-18,2016-01-18 16:24:20,2016-01-19 07:55:50,15:31:00
2016-01-19,2016-01-19 16:25:58,2016-01-20 07:54:49,15:29:00
2016-01-20,2016-01-20 16:27:37,2016-01-21 07:53:44,15:26:00
2016-01-21,2016-01-21 16:29:17,2016-01-22 07:52:38,15:23:00
2016-01-22,2016-01-22 16:30:58,2016-01-23 07:51:28,15:21:00
2016-01-23,2016-01-23 16:32:40,2016-01-24 07:50:17,15:18:00
2016-01-24,2016-01-24 16:34:23,2016-01-25 07:49:02,15:15:00
2016-01-25,2016-01-25 16:36:07,2016-01-26 07:47:46,15:12:00
2016-01-26,2016-01-26 16:37:52,2016-01-27 07:46:27,15:09:00
2016-01-27,2016-01-27 16:39:38,2016-01-28 07:45:05,15:05:00
2016-01-28,2016-01-28 16:41:24,2016-01-29 07:43:42,15:02:00
2016-01-29,2016-01-29 16:43:11,2016-01-30 07:42:16,14:59:00
2016-01-30,2016-01-30 16:44:58,2016-01-31 07:40:48,14:56:00
2016-01-31,2016-01-31 16:46:46,2016-02-01 07:39:18,14:53:00
2016-02-01,2016-02-01 16:48:34,2016-02-02 07:37:46,14:49:00
2016-02-02,2016-02-02 16:50:23,2016-02-03 07:36:12,14:46:00
2016-02-03,2016-02-03 16:52:12,2016-02-04 07:34:36,14:42:00
2016-02-04,2016-02-04 16:54:01,2016-02-05 07:32:58,14:39:00
2016-02-05,2016-02-05 16:55:51,2016-02-06 07:31:19,14:35:00
2016-02-06,2016-02-06 16:57:40,2016-02-07 07:29:37,14:32:00
2016-02-07,2016-02-07 16:59:30,2016-02-08 07:27:54,14:28:00
2016-02-08,2016-02-08 17:01:20,2016-02-09 07:26:10,14:25:00
2016-02-09,2016-02-09 17:03:10,2016-02-10 07:24:23,14:21:00
2016-02-10,2016-02-10 17:05:00,2016-02-11 07:22:35,14:18:00
2016-02-11,2016-02-11 17:06:50,2016-02-12 07:20:46,14:14:00
2016-02-12,2016-02-12 17:08:40,2016-02-13 07:18:55,14:10:00
2016-02-13,2016-02-13 17:10:29,2016-02-14 07:17:03,14:07:00
2016-02-14,2016-02-14 17:12:19,2016-02-15 07:15:09,14:03:00
2016-02-15,2016-02-15 17:14:09,2016-02-16 07:13:14,13:59:00
2016-02-16,2016-02-16 17:15:58,2016-02-17 07:11:18,13:55:00
2016-02-17,2016-02-17 17:17:47,2016-02-18 07:09:20,13:52:00
2016-02-18,2016-02-18 17:19:36,2016-02-19 07:07:21,13:48:00
2016-02-19,2016-02-19 17:21:25,2016-02-20 07:05:22,13:44:00
2016-02-20,2016-02-20 17:23:14,2016-02-21 07:03:21,13:40:00
2016-02-21,2016-02-21 17:25:02,2016-02-22 07:01:19,13:36:00
2016-02-22,2016-02-22 17:26:50,2016-02-23 06:59:15,13:32:00
2016-02-23,2016-02-23 17:28:38,2016-02-24 06:57:11,13:29:00
2016-02-24,2016-02-24 17:30:26,2016-02-25 06:55:06,13:25:00
2016-02-25,2016-02-25 17:32:13,2016-02-26 06:53:01,13:21:00
2016-02-26,2016-02-26 17:34:00,2016-02-27 06:50:54,13:17:00
2016-02-27,2016-02-27 17:35:47,2016-02-28 06:48:46,13:13:00
2016-02-28,2016-02-28 17:37:33,2016-02-29 06:46:38,13:09:00
2016-02-29,2016-02-29 17:39:19,2016-03-01 06:44:29,13:05:00
2016-03-01,2016-03-01 17:41:05,2016-03-02 06:42:19,13:01:00
2016-03-02,2016-03-02 17:42:51,2016-03-03 06:40:09,12:57:00
2016-03-03,2016-03-03 17:44:36,2016-03-04 06:37:57,12:53:00
2016-03-04,2016-03-04 17:46:21,2016-03-05 06:35:46,12:49:00
2016-03-05,2016-03-05 17:48:06,2016-03-06 06:33:33,12:45:00
2016-03-06,2016-03-06 17:49:50,2016-03-07 06:31:21,12:42:00
2016-03-07,2016-03-07 17:51:35,2016-03-08 06:29:07,12:38:00
2016-03-08,2016-03-08 17:53:19,2016-03-09 06:26:54,12:34:00
2016-03-09,2016-03-09 17:55:02,2016-03-10 06:24:39,12:30:00
