"Nights","SunSets","SunRises","NightLength"
2016-01-01,2016-01-01 15:48:41,2016-01-02 08:07:07,16:18:00
2016-01-02,2016-01-02 15:49:46,2016-01-03 08:06:56,16:17:00
2016-01-03,2016-01-03 15:50:55,2016-01-04 08:06:40,16:16:00
2016-01-04,2016-01-04 15:52:06,2016-01-05 08:06:22,16:14:00
2016-01-05,2016-01-05 15:53:20,2016-01-06 08:06:00,16:13:00
2016-01-06,2016-01-06 15:54:37,2016-01-07 08:05:34,16:11:00
2016-01-07,2016-01-07 15:55:56,2016-01-08 08:05:05,16:09:00
2016-01-08,2016-01-08 15:57:18,2016-01-09 08:04:32,16:07:00
2016-01-09,2016-01-09 15:58:42,2016-01-10 08:03:56,16:05:00
2016-01-10,2016-01-10 16:00:08,2016-01-11 08:03:17,16:03:00
2016-01-11,2016-01-11 16:01:37,2016-01-12 08:02:35,16:01:00
2016-01-12,2016-01-12 16:03:07,2016-01-13 08:01:49,15:59:00
2016-01-13,2016-01-13 16:04:40,2016-01-14 08:01:01,15:56:00
2016-01-14,2016-01-14 16:06:14,2016-01-15 08:00:09,15:54:00
2016-01-15,2016-01-15 16:07:51,2016-01-16 07:59:14,15:51:00
2016-01-16,2016-01-16 16:09:29,2016-01-17 07:58:16,15:49:00
2016-01-17,2016-01-17 16:11:08,2016-01-18 07:57:15,15:46:00
2016-01-18,2016-01-18 16:12:50,2016-01-19 07:56:11,15:43:00
2016-01-19,2016-01-19 16:14:32,2016-01-20 07:55:05,15:41:00
2016-01-20,2016-01-20 16:16:16,2016-01-21 07:53:55,15:38:00
2016-01-21,2016-01-21 16:18:02,2016-01-22 07:52:43,15:35:00
2016-01-22,2016-01-22 16:19:48,2016-01-23 07:51:29,15:32:00
2016-01-23,2016-01-23 16:21:36,2016-01-24 07:50:11,15:29:00
2016-01-24,2016-01-24 16:23:25,2016-01-25 07:48:52,15:25:00
2016-01-25,2016-01-25 16:25:14,2016-01-26 07:47:29,15:22:00
2016-01-26,2016-01-26 16:27:05,2016-01-27 07:46:05,15:19:00
2016-01-27,2016-01-27 16:28:56,2016-01-28 07:44:38,15:16:00
2016-01-28,2016-01-28 16:30:48,2016-01-29 07:43:08,15:12:00
2016-01-29,2016-01-29 16:32:41,2016-01-30 07:41:37,15:09:00
2016-01-30,2016-01-30 16:34:34,2016-01-31 07:40:03,15:05:00
2016-01-31,2016-01-31 16:36:28,2016-02-01 07:38:27,15:02:00
2016-02-01,2016-02-01 16:38:22,2016-02-02 07:36:49,14:58:00
2016-02-02,2016-02-02 16:40:17,2016-02-03 07:35:09,14:55:00
2016-02-03,2016-02-03 16:42:12,2016-02-04 07:33:27,14:51:00
2016-02-04,2016-02-04 16:44:07,2016-02-05 07:31:43,14:48:00
2016-02-05,2016-02-05 16:46:02,2016-02-06 07:29:58,14:44:00
2016-02-06,2016-02-06 16:47:58,2016-02-07 07:28:10,14:40:00
2016-02-07,2016-02-07 16:49:54,2016-02-08 07:26:21,14:36:00
2016-02-08,2016-02-08 16:51:50,2016-02-09 07:24:30,14:33:00
2016-02-09,2016-02-09 16:53:46,2016-02-10 07:22:38,14:29:00
2016-02-10,2016-02-10 16:55:42,2016-02-11 07:20:44,14:25:00
2016-02-11,2016-02-11 16:57:38,2016-02-12 07:18:48,14:21:00
2016-02-12,2016-02-12 16:59:34,2016-02-13 07:16:51,14:17:00
2016-02-13,2016-02-13 17:01:30,2016-02-14 07:14:53,14:13:00
2016-02-14,2016-02-14 17:03:26,2016-02-15 07:12:53,14:09:00
2016-02-15,2016-02-15 17:05:22,2016-02-16 07:10:52,14:06:00
2016-02-16,2016-02-16 17:07:17,2016-02-17 07:08:50,14:02:00
2016-02-17,2016-02-17 17:09:12,2016-02-18 07:06:46,13:58:00
2016-02-18,2016-02-18 17:11:08,2016-02-19 07:04:41,13:54:00
2016-02-19,2016-02-19 17:13:03,2016-02-20 07:02:35,13:50:00
2016-02-20,2016-02-20 17:14:57,2016-02-21 07:00:28,13:46:00
2016-02-21,2016-02-21 17:16:52,2016-02-22 06:58:20,13:41:00
2016-02-22,2016-02-22 17:18:46,2016-02-23 06:56:11,13:37:00
2016-02-23,2016-02-23 17:20:40,2016-02-24 06:54:00,13:33:00
2016-02-24,2016-02-24 17:22:34,2016-02-25 06:51:49,13:29:00
2016-02-25,2016-02-25 17:24:27,2016-02-26 06:49:37,13:25:00
2016-02-26,2016-02-26 17:26:21,2016-02-27 06:47:25,13:21:00
2016-02-27,2016-02-27 17:28:13,2016-02-28 06:45:11,13:17:00
2016-02-28,2016-02-28 17:30:06,2016-02-29 06:42:56,13:13:00
2016-02-29,2016-02-29 17:31:58,2016-03-01 06:40:41,13:09:00
2016-03-01,2016-03-01 17:33:50,2016-03-02 06:38:25,13:05:00
2016-03-02,2016-03-02 17:35:42,2016-03-03 06:36:09,13:00:00
2016-03-03,2016-03-03 17:37:33,2016-03-04 06:33:52,12:56:00
2016-03-04,2016-03-04 17:39:25,2016-03-05 06:31:34,12:52:00
2016-03-05,2016-03-05 17:41:15,2016-03-06 06:29:16,12:48:00
2016-03-06,2016-03-06 17:43:06,2016-03-07 06:26:57,12:44:00
2016-03-07,2016-03-07 17:44:56,2016-03-08 06:24:37,12:40:00
2016-03-08,2016-03-08 17:46:46,2016-03-09 06:22:17,12:36:00
