"Nights","SunSets","SunRises","NightLength"
2013-01-01,2013-01-01 15:49:43,2013-01-02 08:07:28,16:18:00
2013-01-02,2013-01-02 15:50:51,2013-01-03 08:07:14,16:16:00
2013-01-03,2013-01-03 15:52:01,2013-01-04 08:06:56,16:15:00
2013-01-04,2013-01-04 15:53:15,2013-01-05 08:06:35,16:13:00
2013-01-05,2013-01-05 15:54:31,2013-01-06 08:06:10,16:12:00
2013-01-06,2013-01-06 15:55:49,2013-01-07 08:05:42,16:10:00
2013-01-07,2013-01-07 15:57:10,2013-01-08 08:05:10,16:08:00
2013-01-08,2013-01-08 15:58:34,2013-01-09 08:04:35,16:06:00
2013-01-09,2013-01-09 15:59:59,2013-01-10 08:03:57,16:04:00
2013-01-10,2013-01-10 16:01:27,2013-01-11 08:03:15,16:02:00
2013-01-11,2013-01-11 16:02:58,2013-01-12 08:02:30,16:00:00
2013-01-12,2013-01-12 16:04:30,2013-01-13 08:01:43,15:57:00
2013-01-13,2013-01-13 16:06:04,2013-01-14 08:00:51,15:55:00
2013-01-14,2013-01-14 16:07:40,2013-01-15 07:59:57,15:52:00
2013-01-15,2013-01-15 16:09:18,2013-01-16 07:59:00,15:50:00
2013-01-16,2013-01-16 16:10:57,2013-01-17 07:58:00,15:47:00
2013-01-17,2013-01-17 16:12:38,2013-01-18 07:56:57,15:44:00
2013-01-18,2013-01-18 16:14:20,2013-01-19 07:55:51,15:42:00
2013-01-19,2013-01-19 16:16:04,2013-01-20 07:54:42,15:39:00
2013-01-20,2013-01-20 16:17:49,2013-01-21 07:53:31,15:36:00
2013-01-21,2013-01-21 16:19:35,2013-01-22 07:52:17,15:33:00
2013-01-22,2013-01-22 16:21:23,2013-01-23 07:51:00,15:30:00
2013-01-23,2013-01-23 16:23:11,2013-01-24 07:49:41,15:26:00
2013-01-24,2013-01-24 16:25:01,2013-01-25 07:48:19,15:23:00
2013-01-25,2013-01-25 16:26:51,2013-01-26 07:46:55,15:20:00
2013-01-26,2013-01-26 16:28:42,2013-01-27 07:45:28,15:17:00
2013-01-27,2013-01-27 16:30:34,2013-01-28 07:44:00,15:13:00
2013-01-28,2013-01-28 16:32:27,2013-01-29 07:42:28,15:10:00
2013-01-29,2013-01-29 16:34:20,2013-01-30 07:40:55,15:07:00
2013-01-30,2013-01-30 16:36:14,2013-01-31 07:39:20,15:03:00
2013-01-31,2013-01-31 16:38:08,2013-02-01 07:37:42,15:00:00
2013-02-01,2013-02-01 16:40:03,2013-02-02 07:36:03,14:56:00
2013-02-02,2013-02-02 16:41:58,2013-02-03 07:34:21,14:52:00
2013-02-03,2013-02-03 16:43:53,2013-02-04 07:32:38,14:49:00
2013-02-04,2013-02-04 16:45:49,2013-02-05 07:30:53,14:45:00
2013-02-05,2013-02-05 16:47:45,2013-02-06 07:29:05,14:41:00
2013-02-06,2013-02-06 16:49:40,2013-02-07 07:27:17,14:38:00
2013-02-07,2013-02-07 16:51:37,2013-02-08 07:25:26,14:34:00
2013-02-08,2013-02-08 16:53:33,2013-02-09 07:23:34,14:30:00
2013-02-09,2013-02-09 16:55:29,2013-02-10 07:21:40,14:26:00
2013-02-10,2013-02-10 16:57:25,2013-02-11 07:19:45,14:22:00
2013-02-11,2013-02-11 16:59:21,2013-02-12 07:17:48,14:18:00
2013-02-12,2013-02-12 17:01:17,2013-02-13 07:15:50,14:15:00
2013-02-13,2013-02-13 17:03:13,2013-02-14 07:13:51,14:11:00
2013-02-14,2013-02-14 17:05:09,2013-02-15 07:11:50,14:07:00
2013-02-15,2013-02-15 17:07:05,2013-02-16 07:09:48,14:03:00
2013-02-16,2013-02-16 17:09:00,2013-02-17 07:07:44,13:59:00
2013-02-17,2013-02-17 17:10:56,2013-02-18 07:05:39,13:55:00
2013-02-18,2013-02-18 17:12:51,2013-02-19 07:03:34,13:51:00
2013-02-19,2013-02-19 17:14:46,2013-02-20 07:01:27,13:47:00
2013-02-20,2013-02-20 17:16:40,2013-02-21 06:59:19,13:43:00
2013-02-21,2013-02-21 17:18:35,2013-02-22 06:57:10,13:39:00
2013-02-22,2013-02-22 17:20:29,2013-02-23 06:55:00,13:35:00
2013-02-23,2013-02-23 17:22:23,2013-02-24 06:52:49,13:30:00
2013-02-24,2013-02-24 17:24:16,2013-02-25 06:50:37,13:26:00
2013-02-25,2013-02-25 17:26:10,2013-02-26 06:48:24,13:22:00
2013-02-26,2013-02-26 17:28:03,2013-02-27 06:46:11,13:18:00
2013-02-27,2013-02-27 17:29:56,2013-02-28 06:43:56,13:14:00
2013-02-28,2013-02-28 17:31:48,2013-03-01 06:41:41,13:10:00
2013-03-01,2013-03-01 17:33:40,2013-03-02 06:39:25,13:06:00
2013-03-02,2013-03-02 17:35:32,2013-03-03 06:37:09,13:02:00
2013-03-03,2013-03-03 17:37:24,2013-03-04 06:34:52,12:57:00
2013-03-04,2013-03-04 17:39:15,2013-03-05 06:32:34,12:53:00
2013-03-05,2013-03-05 17:41:06,2013-03-06 06:30:16,12:49:00
