"Nights","SunSets","SunRises","NightLength"
2016-01-01,2016-01-01 15:56:48,2016-01-02 07:58:56,16:02:00
2016-01-02,2016-01-02 15:57:50,2016-01-03 07:58:47,16:01:00
2016-01-03,2016-01-03 15:58:56,2016-01-04 07:58:35,16:00:00
2016-01-04,2016-01-04 16:00:04,2016-01-05 07:58:20,15:58:00
2016-01-05,2016-01-05 16:01:14,2016-01-06 07:58:01,15:57:00
2016-01-06,2016-01-06 16:02:27,2016-01-07 07:57:39,15:55:00
2016-01-07,2016-01-07 16:03:42,2016-01-08 07:57:14,15:54:00
2016-01-08,2016-01-08 16:05:00,2016-01-09 07:56:46,15:52:00
2016-01-09,2016-01-09 16:06:19,2016-01-10 07:56:15,15:50:00
2016-01-10,2016-01-10 16:07:41,2016-01-11 07:55:40,15:48:00
2016-01-11,2016-01-11 16:09:05,2016-01-12 07:55:03,15:46:00
2016-01-12,2016-01-12 16:10:31,2016-01-13 07:54:22,15:44:00
2016-01-13,2016-01-13 16:11:58,2016-01-14 07:53:39,15:42:00
2016-01-14,2016-01-14 16:13:28,2016-01-15 07:52:52,15:39:00
2016-01-15,2016-01-15 16:14:59,2016-01-16 07:52:03,15:37:00
2016-01-16,2016-01-16 16:16:31,2016-01-17 07:51:10,15:35:00
2016-01-17,2016-01-17 16:18:05,2016-01-18 07:50:15,15:32:00
2016-01-18,2016-01-18 16:19:41,2016-01-19 07:49:17,15:30:00
2016-01-19,2016-01-19 16:21:17,2016-01-20 07:48:17,15:27:00
2016-01-20,2016-01-20 16:22:55,2016-01-21 07:47:14,15:24:00
2016-01-21,2016-01-21 16:24:35,2016-01-22 07:46:08,15:22:00
2016-01-22,2016-01-22 16:26:15,2016-01-23 07:44:59,15:19:00
2016-01-23,2016-01-23 16:27:56,2016-01-24 07:43:48,15:16:00
2016-01-24,2016-01-24 16:29:39,2016-01-25 07:42:35,15:13:00
2016-01-25,2016-01-25 16:31:22,2016-01-26 07:41:19,15:10:00
2016-01-26,2016-01-26 16:33:06,2016-01-27 07:40:01,15:07:00
2016-01-27,2016-01-27 16:34:50,2016-01-28 07:38:41,15:04:00
2016-01-28,2016-01-28 16:36:36,2016-01-29 07:37:18,15:01:00
2016-01-29,2016-01-29 16:38:22,2016-01-30 07:35:53,14:58:00
2016-01-30,2016-01-30 16:40:08,2016-01-31 07:34:26,14:54:00
2016-01-31,2016-01-31 16:41:55,2016-02-01 07:32:57,14:51:00
2016-02-01,2016-02-01 16:43:42,2016-02-02 07:31:26,14:48:00
2016-02-02,2016-02-02 16:45:30,2016-02-03 07:29:53,14:44:00
2016-02-03,2016-02-03 16:47:18,2016-02-04 07:28:18,14:41:00
2016-02-04,2016-02-04 16:49:06,2016-02-05 07:26:41,14:38:00
2016-02-05,2016-02-05 16:50:55,2016-02-06 07:25:03,14:34:00
2016-02-06,2016-02-06 16:52:44,2016-02-07 07:23:22,14:31:00
2016-02-07,2016-02-07 16:54:33,2016-02-08 07:21:40,14:27:00
2016-02-08,2016-02-08 16:56:21,2016-02-09 07:19:56,14:24:00
2016-02-09,2016-02-09 16:58:10,2016-02-10 07:18:11,14:20:00
2016-02-10,2016-02-10 16:59:59,2016-02-11 07:16:24,14:16:00
2016-02-11,2016-02-11 17:01:48,2016-02-12 07:14:36,14:13:00
2016-02-12,2016-02-12 17:03:37,2016-02-13 07:12:46,14:09:00
2016-02-13,2016-02-13 17:05:26,2016-02-14 07:10:54,14:05:00
2016-02-14,2016-02-14 17:07:15,2016-02-15 07:09:02,14:02:00
2016-02-15,2016-02-15 17:09:03,2016-02-16 07:07:08,13:58:00
2016-02-16,2016-02-16 17:10:52,2016-02-17 07:05:12,13:54:00
2016-02-17,2016-02-17 17:12:40,2016-02-18 07:03:16,13:51:00
2016-02-18,2016-02-18 17:14:28,2016-02-19 07:01:18,13:47:00
2016-02-19,2016-02-19 17:16:16,2016-02-20 06:59:19,13:43:00
2016-02-20,2016-02-20 17:18:03,2016-02-21 06:57:19,13:39:00
2016-02-21,2016-02-21 17:19:51,2016-02-22 06:55:18,13:35:00
2016-02-22,2016-02-22 17:21:38,2016-02-23 06:53:16,13:32:00
2016-02-23,2016-02-23 17:23:25,2016-02-24 06:51:13,13:28:00
2016-02-24,2016-02-24 17:25:11,2016-02-25 06:49:09,13:24:00
2016-02-25,2016-02-25 17:26:57,2016-02-26 06:47:04,13:20:00
2016-02-26,2016-02-26 17:28:44,2016-02-27 06:44:58,13:16:00
2016-02-27,2016-02-27 17:30:29,2016-02-28 06:42:52,13:12:00
2016-02-28,2016-02-28 17:32:15,2016-02-29 06:40:44,13:08:00
2016-02-29,2016-02-29 17:34:00,2016-03-01 06:38:36,13:05:00
2016-03-01,2016-03-01 17:35:45,2016-03-02 06:36:27,13:01:00
2016-03-02,2016-03-02 17:37:30,2016-03-03 06:34:18,12:57:00
2016-03-03,2016-03-03 17:39:14,2016-03-04 06:32:08,12:53:00
2016-03-04,2016-03-04 17:40:58,2016-03-05 06:29:57,12:49:00
2016-03-05,2016-03-05 17:42:42,2016-03-06 06:27:46,12:45:00
2016-03-06,2016-03-06 17:44:25,2016-03-07 06:25:34,12:41:00
2016-03-07,2016-03-07 17:46:09,2016-03-08 06:23:22,12:37:00
2016-03-08,2016-03-08 17:47:52,2016-03-09 06:21:09,12:33:00
2016-03-09,2016-03-09 17:49:34,2016-03-10 06:18:56,12:29:00
2016-03-10,2016-03-10 17:51:17,2016-03-11 06:16:42,12:25:00
2016-03-11,2016-03-11 17:52:59,2016-03-12 06:14:28,12:21:00
2016-03-12,2016-03-12 17:54:41,2016-03-13 06:12:14,12:18:00
2016-03-13,2016-03-13 17:56:23,2016-03-14 06:09:59,12:14:00
2016-03-14,2016-03-14 17:58:05,2016-03-15 06:07:44,12:10:00
2016-03-15,2016-03-15 17:59:46,2016-03-16 06:05:29,12:06:00
2016-03-16,2016-03-16 18:01:27,2016-03-17 06:03:14,12:02:00
2016-03-17,2016-03-17 18:03:08,2016-03-18 06:00:58,11:58:00
2016-03-18,2016-03-18 18:04:49,2016-03-19 05:58:42,11:54:00
2016-03-19,2016-03-19 18:06:30,2016-03-20 05:56:26,11:50:00
2016-03-20,2016-03-20 18:08:11,2016-03-21 05:54:11,11:46:00
2016-03-21,2016-03-21 18:09:51,2016-03-22 05:51:55,11:42:00
2016-03-22,2016-03-22 18:11:31,2016-03-23 05:49:39,11:38:00
2016-03-23,2016-03-23 18:13:12,2016-03-24 05:47:23,11:34:00
2016-03-24,2016-03-24 18:14:52,2016-03-25 05:45:07,11:30:00
2016-03-25,2016-03-25 18:16:32,2016-03-26 05:42:51,11:26:00
2016-03-26,2016-03-26 18:18:12,2016-03-27 05:40:35,11:22:00
2016-03-27,2016-03-27 18:19:51,2016-03-28 05:38:19,11:18:00
2016-03-28,2016-03-28 18:21:31,2016-03-29 05:36:04,11:15:00
2016-03-29,2016-03-29 18:23:11,2016-03-30 05:33:49,11:11:00
2016-03-30,2016-03-30 18:24:50,2016-03-31 05:31:34,11:07:00
2016-03-31,2016-03-31 18:26:30,2016-04-01 05:29:19,11:03:00
2016-04-01,2016-04-01 18:28:10,2016-04-02 05:27:04,10:59:00
2016-04-02,2016-04-02 18:29:49,2016-04-03 05:24:50,10:55:00
2016-04-03,2016-04-03 18:31:29,2016-04-04 05:22:36,10:51:00
2016-04-04,2016-04-04 18:33:08,2016-04-05 05:20:22,10:47:00
2016-04-05,2016-04-05 18:34:48,2016-04-06 05:18:09,10:43:00
2016-04-06,2016-04-06 18:36:27,2016-04-07 05:15:57,10:39:00
2016-04-07,2016-04-07 18:38:06,2016-04-08 05:13:44,10:36:00
2016-04-08,2016-04-08 18:39:46,2016-04-09 05:11:32,10:32:00
2016-04-09,2016-04-09 18:41:25,2016-04-10 05:09:21,10:28:00
2016-04-10,2016-04-10 18:43:05,2016-04-11 05:07:11,10:24:00
2016-04-11,2016-04-11 18:44:44,2016-04-12 05:05:00,10:20:00
2016-04-12,2016-04-12 18:46:23,2016-04-13 05:02:51,10:16:00
2016-04-13,2016-04-13 18:48:03,2016-04-14 05:00:42,10:13:00
2016-04-14,2016-04-14 18:49:42,2016-04-15 04:58:34,10:09:00
2016-04-15,2016-04-15 18:51:22,2016-04-16 04:56:27,10:05:00
2016-04-16,2016-04-16 18:53:01,2016-04-17 04:54:20,10:01:00
2016-04-17,2016-04-17 18:54:40,2016-04-18 04:52:14,09:58:00
2016-04-18,2016-04-18 18:56:19,2016-04-19 04:50:10,09:54:00
2016-04-19,2016-04-19 18:57:59,2016-04-20 04:48:05,09:50:00
2016-04-20,2016-04-20 18:59:38,2016-04-21 04:46:02,09:46:00
2016-04-21,2016-04-21 19:01:17,2016-04-22 04:44:00,09:43:00
2016-04-22,2016-04-22 19:02:56,2016-04-23 04:41:59,09:39:00
2016-04-23,2016-04-23 19:04:35,2016-04-24 04:39:59,09:35:00
2016-04-24,2016-04-24 19:06:13,2016-04-25 04:38:00,09:32:00
2016-04-25,2016-04-25 19:07:52,2016-04-26 04:36:02,09:28:00
2016-04-26,2016-04-26 19:09:31,2016-04-27 04:34:05,09:25:00
2016-04-27,2016-04-27 19:11:09,2016-04-28 04:32:09,09:21:00
2016-04-28,2016-04-28 19:12:47,2016-04-29 04:30:15,09:17:00
2016-04-29,2016-04-29 19:14:25,2016-04-30 04:28:22,09:14:00
2016-04-30,2016-04-30 19:16:02,2016-05-01 04:26:30,09:10:00
2016-05-01,2016-05-01 19:17:40,2016-05-02 04:24:40,09:07:00
2016-05-02,2016-05-02 19:19:17,2016-05-03 04:22:51,09:04:00
2016-05-03,2016-05-03 19:20:53,2016-05-04 04:21:03,09:00:00
2016-05-04,2016-05-04 19:22:29,2016-05-05 04:19:17,08:57:00
2016-05-05,2016-05-05 19:24:05,2016-05-06 04:17:33,08:53:00
2016-05-06,2016-05-06 19:25:40,2016-05-07 04:15:50,08:50:00
2016-05-07,2016-05-07 19:27:15,2016-05-08 04:14:08,08:47:00
2016-05-08,2016-05-08 19:28:50,2016-05-09 04:12:29,08:44:00
2016-05-09,2016-05-09 19:30:23,2016-05-10 04:10:51,08:40:00
2016-05-10,2016-05-10 19:31:56,2016-05-11 04:09:15,08:37:00
2016-05-11,2016-05-11 19:33:29,2016-05-12 04:07:41,08:34:00
2016-05-12,2016-05-12 19:35:00,2016-05-13 04:06:09,08:31:00
2016-05-13,2016-05-13 19:36:31,2016-05-14 04:04:38,08:28:00
2016-05-14,2016-05-14 19:38:01,2016-05-15 04:03:10,08:25:00
2016-05-15,2016-05-15 19:39:30,2016-05-16 04:01:44,08:22:00
2016-05-16,2016-05-16 19:40:58,2016-05-17 04:00:19,08:19:00
2016-05-17,2016-05-17 19:42:26,2016-05-18 03:58:57,08:17:00
2016-05-18,2016-05-18 19:43:52,2016-05-19 03:57:37,08:14:00
2016-05-19,2016-05-19 19:45:17,2016-05-20 03:56:19,08:11:00
2016-05-20,2016-05-20 19:46:40,2016-05-21 03:55:04,08:08:00
2016-05-21,2016-05-21 19:48:03,2016-05-22 03:53:51,08:06:00
2016-05-22,2016-05-22 19:49:24,2016-05-23 03:52:40,08:03:00
2016-05-23,2016-05-23 19:50:44,2016-05-24 03:51:32,08:01:00
2016-05-24,2016-05-24 19:52:02,2016-05-25 03:50:26,07:58:00
2016-05-25,2016-05-25 19:53:19,2016-05-26 03:49:23,07:56:00
2016-05-26,2016-05-26 19:54:34,2016-05-27 03:48:22,07:54:00
2016-05-27,2016-05-27 19:55:48,2016-05-28 03:47:24,07:52:00
2016-05-28,2016-05-28 19:57:00,2016-05-29 03:46:28,07:49:00
2016-05-29,2016-05-29 19:58:10,2016-05-30 03:45:35,07:47:00
2016-05-30,2016-05-30 19:59:18,2016-05-31 03:44:45,07:45:00
2016-05-31,2016-05-31 20:00:24,2016-06-01 03:43:58,07:44:00
2016-06-01,2016-06-01 20:01:28,2016-06-02 03:43:13,07:42:00
2016-06-02,2016-06-02 20:02:30,2016-06-03 03:42:32,07:40:00
2016-06-03,2016-06-03 20:03:30,2016-06-04 03:41:53,07:38:00
2016-06-04,2016-06-04 20:04:28,2016-06-05 03:41:17,07:37:00
2016-06-05,2016-06-05 20:05:23,2016-06-06 03:40:44,07:35:00
2016-06-06,2016-06-06 20:06:17,2016-06-07 03:40:14,07:34:00
2016-06-07,2016-06-07 20:07:07,2016-06-08 03:39:47,07:33:00
2016-06-08,2016-06-08 20:07:56,2016-06-09 03:39:23,07:31:00
2016-06-09,2016-06-09 20:08:41,2016-06-10 03:39:02,07:30:00
2016-06-10,2016-06-10 20:09:25,2016-06-11 03:38:44,07:29:00
2016-06-11,2016-06-11 20:10:05,2016-06-12 03:38:29,07:28:00
2016-06-12,2016-06-12 20:10:43,2016-06-13 03:38:17,07:28:00
2016-06-13,2016-06-13 20:11:18,2016-06-14 03:38:08,07:27:00
2016-06-14,2016-06-14 20:11:50,2016-06-15 03:38:02,07:26:00
2016-06-15,2016-06-15 20:12:20,2016-06-16 03:37:59,07:26:00
2016-06-16,2016-06-16 20:12:46,2016-06-17 03:37:59,07:25:00
