"Nights","SunSets","SunRises","NightLength"
2013-01-01,2013-01-01 16:09:37,2013-01-02 08:19:12,16:10:00
2013-01-02,2013-01-02 16:10:44,2013-01-03 08:19:00,16:08:00
2013-01-03,2013-01-03 16:11:52,2013-01-04 08:18:43,16:07:00
2013-01-04,2013-01-04 16:13:04,2013-01-05 08:18:24,16:05:00
2013-01-05,2013-01-05 16:14:18,2013-01-06 08:18:01,16:04:00
2013-01-06,2013-01-06 16:15:35,2013-01-07 08:17:35,16:02:00
2013-01-07,2013-01-07 16:16:54,2013-01-08 08:17:05,16:00:00
2013-01-08,2013-01-08 16:18:15,2013-01-09 08:16:33,15:58:00
2013-01-09,2013-01-09 16:19:39,2013-01-10 08:15:57,15:56:00
2013-01-10,2013-01-10 16:21:04,2013-01-11 08:15:17,15:54:00
2013-01-11,2013-01-11 16:22:32,2013-01-12 08:14:35,15:52:00
2013-01-12,2013-01-12 16:24:02,2013-01-13 08:13:50,15:50:00
2013-01-13,2013-01-13 16:25:33,2013-01-14 08:13:01,15:47:00
2013-01-14,2013-01-14 16:27:07,2013-01-15 08:12:10,15:45:00
2013-01-15,2013-01-15 16:28:41,2013-01-16 08:11:15,15:43:00
2013-01-16,2013-01-16 16:30:18,2013-01-17 08:10:18,15:40:00
2013-01-17,2013-01-17 16:31:56,2013-01-18 08:09:18,15:37:00
2013-01-18,2013-01-18 16:33:36,2013-01-19 08:08:15,15:35:00
2013-01-19,2013-01-19 16:35:16,2013-01-20 08:07:09,15:32:00
2013-01-20,2013-01-20 16:36:58,2013-01-21 08:06:01,15:29:00
2013-01-21,2013-01-21 16:38:42,2013-01-22 08:04:50,15:26:00
2013-01-22,2013-01-22 16:40:26,2013-01-23 08:03:36,15:23:00
2013-01-23,2013-01-23 16:42:11,2013-01-24 08:02:20,15:20:00
2013-01-24,2013-01-24 16:43:57,2013-01-25 08:01:02,15:17:00
2013-01-25,2013-01-25 16:45:44,2013-01-26 07:59:41,15:14:00
2013-01-26,2013-01-26 16:47:32,2013-01-27 07:58:18,15:11:00
2013-01-27,2013-01-27 16:49:21,2013-01-28 07:56:52,15:08:00
2013-01-28,2013-01-28 16:51:10,2013-01-29 07:55:25,15:04:00
2013-01-29,2013-01-29 16:53:00,2013-01-30 07:53:55,15:01:00
2013-01-30,2013-01-30 16:54:50,2013-01-31 07:52:23,14:58:00
2013-01-31,2013-01-31 16:56:41,2013-02-01 07:50:49,14:54:00
2013-02-01,2013-02-01 16:58:32,2013-02-02 07:49:12,14:51:00
2013-02-02,2013-02-02 17:00:24,2013-02-03 07:47:34,14:47:00
2013-02-03,2013-02-03 17:02:16,2013-02-04 07:45:55,14:44:00
2013-02-04,2013-02-04 17:04:08,2013-02-05 07:44:13,14:40:00
2013-02-05,2013-02-05 17:06:00,2013-02-06 07:42:29,14:36:00
2013-02-06,2013-02-06 17:07:52,2013-02-07 07:40:44,14:33:00
2013-02-07,2013-02-07 17:09:45,2013-02-08 07:38:57,14:29:00
2013-02-08,2013-02-08 17:11:37,2013-02-09 07:37:08,14:26:00
2013-02-09,2013-02-09 17:13:30,2013-02-10 07:35:18,14:22:00
2013-02-10,2013-02-10 17:15:23,2013-02-11 07:33:27,14:18:00
2013-02-11,2013-02-11 17:17:15,2013-02-12 07:31:33,14:14:00
2013-02-12,2013-02-12 17:19:08,2013-02-13 07:29:39,14:11:00
2013-02-13,2013-02-13 17:21:00,2013-02-14 07:27:43,14:07:00
2013-02-14,2013-02-14 17:22:52,2013-02-15 07:25:45,14:03:00
2013-02-15,2013-02-15 17:24:44,2013-02-16 07:23:47,13:59:00
2013-02-16,2013-02-16 17:26:36,2013-02-17 07:21:47,13:55:00
2013-02-17,2013-02-17 17:28:28,2013-02-18 07:19:46,13:51:00
2013-02-18,2013-02-18 17:30:20,2013-02-19 07:17:44,13:47:00
2013-02-19,2013-02-19 17:32:11,2013-02-20 07:15:40,13:43:00
2013-02-20,2013-02-20 17:34:02,2013-02-21 07:13:36,13:40:00
2013-02-21,2013-02-21 17:35:53,2013-02-22 07:11:30,13:36:00
2013-02-22,2013-02-22 17:37:43,2013-02-23 07:09:24,13:32:00
2013-02-23,2013-02-23 17:39:34,2013-02-24 07:07:16,13:28:00
2013-02-24,2013-02-24 17:41:24,2013-02-25 07:05:08,13:24:00
2013-02-25,2013-02-25 17:43:14,2013-02-26 07:02:59,13:20:00
2013-02-26,2013-02-26 17:45:03,2013-02-27 07:00:49,13:16:00
2013-02-27,2013-02-27 17:46:52,2013-02-28 06:58:38,13:12:00
2013-02-28,2013-02-28 17:48:41,2013-03-01 06:56:26,13:08:00
2013-03-01,2013-03-01 17:50:30,2013-03-02 06:54:14,13:04:00
2013-03-02,2013-03-02 17:52:18,2013-03-03 06:52:01,13:00:00
2013-03-03,2013-03-03 17:54:06,2013-03-04 06:49:48,12:56:00
2013-03-04,2013-03-04 17:55:54,2013-03-05 06:47:33,12:52:00
2013-03-05,2013-03-05 17:57:42,2013-03-06 06:45:19,12:48:00
2013-03-06,2013-03-06 17:59:29,2013-03-07 06:43:03,12:44:00
2013-03-07,2013-03-07 18:01:16,2013-03-08 06:40:47,12:40:00
2013-03-08,2013-03-08 18:03:02,2013-03-09 06:38:31,12:35:00
2013-03-09,2013-03-09 18:04:49,2013-03-10 06:36:14,12:31:00
2013-03-10,2013-03-10 18:06:35,2013-03-11 06:33:57,12:27:00
2013-03-11,2013-03-11 18:08:21,2013-03-12 06:31:40,12:23:00
2013-03-12,2013-03-12 18:10:07,2013-03-13 06:29:22,12:19:00
2013-03-13,2013-03-13 18:11:52,2013-03-14 06:27:04,12:15:00
2013-03-14,2013-03-14 18:13:38,2013-03-15 06:24:45,12:11:00
2013-03-15,2013-03-15 18:15:23,2013-03-16 06:22:27,12:07:00
2013-03-16,2013-03-16 18:17:08,2013-03-17 06:20:08,12:03:00
2013-03-17,2013-03-17 18:18:52,2013-03-18 06:17:48,11:59:00
2013-03-18,2013-03-18 18:20:37,2013-03-19 06:15:29,11:55:00
2013-03-19,2013-03-19 18:22:21,2013-03-20 06:13:10,11:51:00
2013-03-20,2013-03-20 18:24:05,2013-03-21 06:10:50,11:47:00
2013-03-21,2013-03-21 18:25:50,2013-03-22 06:08:31,11:43:00
2013-03-22,2013-03-22 18:27:34,2013-03-23 06:06:11,11:39:00
2013-03-23,2013-03-23 18:29:17,2013-03-24 06:03:52,11:35:00
2013-03-24,2013-03-24 18:31:01,2013-03-25 06:01:32,11:31:00
2013-03-25,2013-03-25 18:32:45,2013-03-26 05:59:13,11:26:00
